,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Jayson Tatum,2019,0.617,47.0,59.2,0.0,166609.0,0.0
Al Horford,2019,0.617,38.0,60.6,5.0,83988.0,0.0
Furkan Korkmaz,2019,0.646,39.0,42.4,0.0,30807.0,0.0
Jonah Bolden,2019,0.646,23.0,39.0,0.0,39392.0,0.0
Amir Johnson,2019,0.646,36.0,39.9,0.0,21132.0,0.0
Landry Shamet,2019,0.646,48.0,44.4,0.0,70469.0,0.0
T.J. McConnell,2019,0.646,42.0,48.0,0.0,286.0,0.0
JJ Redick,2019,0.646,46.0,59.4,0.0,141200.0,0.0
Dario Šarić,2019,0.478,45.0,48.9,0.0,96614.0,0.0
Markelle Fultz,2019,0.646,19.0,44.9,0.0,288581.0,0.0
Robert Covington,2019,0.478,35.0,57.3,0.0,110611.0,0.0
Álex Abrines,2019,0.609,29.0,39.6,0.0,17221.0,0.0
Raymond Felton,2019,0.609,15.0,39.5,0.0,34016.0,0.0
Nerlens Noel,2019,0.609,42.0,47.2,0.0,89743.0,0.0
Hamidou Diallo,2019,0.609,40.0,38.9,0.0,55588.0,0.0
Tony Parker,2019,0.478,41.0,47.4,6.0,248319.0,0.0
Michael Kidd-Gilchrist,2019,0.478,39.0,48.2,0.0,48057.0,0.0
Malik Monk,2019,0.478,43.0,45.2,0.0,49470.0,0.0
Jeremy Lamb,2019,0.478,43.0,57.5,0.0,35419.0,0.0
Cody Zeller,2019,0.478,35.0,53.7,0.0,38198.0,0.0
Marvin Williams,2019,0.478,45.0,51.8,0.0,27722.0,0.0
Nicolas Batum,2019,0.478,46.0,51.1,0.0,25821.0,0.0
Sterling Brown,2019,0.739,36.0,43.6,0.0,635.0,0.0
Christian Wood,2019,0.739,6.0,41.5,0.0,11817.0,0.0
Tony Snell,2019,0.739,46.0,43.4,0.0,775.0,0.0
John Henson,2019,0.739,14.0,45.2,0.0,2755.0,0.0
Donte DiVincenzo,2019,0.739,23.0,40.0,0.0,71074.0,0.0
Ersan İlyasova,2019,0.739,34.0,44.9,0.0,38297.0,0.0
Brook Lopez,2019,0.739,46.0,53.4,1.0,151229.0,0.0
Eric Bledsoe,2019,0.739,46.0,62.8,0.0,57325.0,0.0
Malcolm Brogdon,2019,0.739,43.0,61.3,0.0,83118.0,0.0
Alfonzo McKinnie,2019,0.702,38.0,41.0,0.0,87088.0,0.0
Jonas Jerebko,2019,0.702,47.0,47.1,0.0,122185.0,0.0
Jordan Bell,2019,0.702,44.0,40.4,0.0,33395.0,0.0
Andre Iguodala,2019,0.702,42.0,48.5,1.0,150645.0,0.0
Quinn Cook,2019,0.702,41.0,44.8,0.0,60889.0,0.0
Shaun Livingston,2019,0.702,36.0,42.9,0.0,67492.0,0.0
Kevon Looney,2019,0.702,47.0,51.0,0.0,58836.0,0.0
Damian Jones,2019,0.702,24.0,46.5,0.0,2975.0,0.0
Draymond Green,2019,0.702,33.0,53.6,3.0,207471.0,0.0
Trae Young,2019,0.304,46.0,51.9,0.0,166312.0,0.0
Taurean Prince,2019,0.304,25.0,48.4,0.0,22269.0,0.0
Kent Bazemore,2019,0.304,35.0,53.2,0.0,40887.0,0.0
DeMar DeRozan,2019,0.562,47.0,65.9,4.0,159263.0,0.0
Derrick Favors,2019,0.542,47.0,58.1,0.0,26207.0,0.0
